id,name,description,category,muscles,equipment,category_name,equipment_names
912,,,8,[1],[],Arms,[]
1502,,,8,[1],[3],Arms,['Dumbbell']
148,,,14,[7],[],Calves,[]
1478,,,10,[6],[7],Abs,['none (bodyweight exercise)']
1752,,,13,[2],[],Shoulders,[]
828,,,12,"[2, 9]",[3],Back,['Dumbbell']
1642,,,9,"[8, 10]",[3],Legs,['Dumbbell']
1798,,,8,[],[],Arms,[]
1489,,,10,"[8, 14, 6]",[],Abs,[]
184,,,12,[12],[1],Back,['Barbell']
1269,,,8,[5],[],Arms,[]
1580,,,13,"[2, 9]",[1],Shoulders,['Barbell']
477,,,12,[12],[],Back,[]
51,,,8,"[2, 11]","[1, 8]",Arms,"['Barbell', 'Bench']"
394,,,12,[12],[],Back,[]
272,,,8,[1],[3],Arms,['Dumbbell']
1091,,,10,"[2, 8, 6]",[4],Abs,['Gym mat']
1554,,,11,[4],[7],Chest,['none (bodyweight exercise)']
1437,,,9,"[11, 8, 10]",[1],Legs,['Barbell']
539,,,11,[4],[],Chest,[]
1284,,,13,[2],[7],Shoulders,['none (bodyweight exercise)']
406,,,13,[],[3],Shoulders,['Dumbbell']
1799,,,11,[],[],Chest,[]
1691,,,11,[4],[],Chest,[]
1509,,,8,[5],[],Arms,[]
1683,,,8,"[1, 13]",[3],Arms,['Dumbbell']
1750,,,9,[8],[3],Legs,['Dumbbell']
1136,,,12,"[1, 12, 3]",[],Back,[]
576,,,10,[14],[4],Abs,['Gym mat']
1494,,,9,[7],[],Legs,[]
1612,,,9,"[11, 8, 10]",[10],Legs,['Kettlebell']
1686,,,8,[4],[3],Arms,['Dumbbell']
1003,,,12,[],[10],Back,['Kettlebell']
292,,,12,[],[7],Back,['none (bodyweight exercise)']
1573,,,10,[6],[7],Abs,['none (bodyweight exercise)']
1307,,,10,[6],[7],Abs,['none (bodyweight exercise)']
1366,,,9,[],[3],Legs,['Dumbbell']
1698,,,12,[12],[1],Back,['Barbell']
1589,,,9,"[11, 8, 10]",[7],Legs,['none (bodyweight exercise)']
1348,,,12,[],[],Back,[]
919,,,12,"[12, 9]",[1],Back,['Barbell']
1493,,,8,[1],[],Arms,[]
1096,,,9,[],[7],Legs,['none (bodyweight exercise)']
1273,,,12,[4],[3],Back,['Dumbbell']
1373,,,15,[8],[7],Cardio,['none (bodyweight exercise)']
556,,,10,[14],[3],Abs,['Dumbbell']
1408,,,9,"[8, 10]",[],Legs,[]
475,,,12,[12],[6],Back,['Pull-up bar']
1673,,,9,[10],[3],Legs,['Dumbbell']
1475,,,10,"[14, 6]",[],Abs,[]
529,,,15,[],[],Cardio,[]
961,,,15,[],[],Cardio,[]
1433,,,12,"[8, 12]",[7],Back,['none (bodyweight exercise)']
282,,,13,"[9, 5]",[7],Shoulders,['none (bodyweight exercise)']
1604,,,9,"[11, 8, 10]",[1],Legs,['Barbell']
173,,,10,[6],[],Abs,[]
1728,,,13,[2],[],Shoulders,[]
1594,,,9,"[11, 10]",[1],Legs,['Barbell']
1018,,,12,[],[7],Back,['none (bodyweight exercise)']
1263,,,12,[],[7],Back,['none (bodyweight exercise)']
189,,,12,[],[1],Back,['Barbell']
161,,,11,"[12, 4, 3]",[3],Chest,['Dumbbell']
257,,,9,[8],[1],Legs,['Barbell']
1426,,,10,[14],[7],Abs,['none (bodyweight exercise)']
1742,,,12,[],"[6, 7]",Back,"['Pull-up bar', 'none (bodyweight exercise)']"
1485,,,8,[5],[2],Arms,['SZ-Bar']
43,,,9,[],[1],Legs,['Barbell']
1372,,,8,[5],[],Arms,[]
632,,,9,"[8, 10]",[7],Legs,['none (bodyweight exercise)']
1637,,,12,[12],[9],Back,['Incline bench']
1444,,,11,[4],[3],Chest,['Dumbbell']
1649,,,8,[1],[3],Arms,['Dumbbell']
1289,,,8,[1],[3],Arms,['Dumbbell']
1090,,,10,"[4, 10, 6, 5]",[7],Abs,['none (bodyweight exercise)']
578,,,13,[],[],Shoulders,[]
802,,,9,[],[1],Legs,['Barbell']
1687,,,10,"[2, 8, 10, 6]",[3],Abs,['Dumbbell']
695,,,12,[],[],Back,[]
1415,,,10,[6],[3],Abs,['Dumbbell']
1004,,,12,[],[7],Back,['none (bodyweight exercise)']
349,,,13,[2],[],Shoulders,[]
1519,,,8,[9],[2],Arms,['SZ-Bar']
914,,,8,[1],[2],Arms,['SZ-Bar']
57,,,11,"[2, 7, 4, 6, 3, 15, 5]",[7],Chest,['none (bodyweight exercise)']
1313,,,10,[6],[7],Abs,['none (bodyweight exercise)']
1510,,,12,[12],[],Back,[]
1749,,,8,[5],[],Arms,[]
1119,,,12,[],[],Back,[]
508,,,12,"[12, 9]","[1, 3, 6]",Back,"['Barbell', 'Dumbbell', 'Pull-up bar']"
1262,,,8,"[1, 13]",[],Arms,[]
1501,,,12,[12],[3],Back,['Dumbbell']
1692,,,11,[4],[9],Chest,['Incline bench']
1194,,,10,"[2, 8, 14, 6, 3, 9]",[],Abs,[]
331,,,9,[8],[10],Legs,['Kettlebell']
1578,,,9,"[11, 8]",[1],Legs,['Barbell']
1143,,,12,"[12, 3]",[],Back,[]
1463,,,8,[1],[3],Arms,['Dumbbell']
599,,,13,[2],[1],Shoulders,['Barbell']
913,,,8,[1],[2],Arms,['SZ-Bar']
1576,,,9,"[11, 8, 10]",[],Legs,[]
1468,,,8,[5],[2],Arms,['SZ-Bar']
1287,,,10,[14],[7],Abs,['none (bodyweight exercise)']
366,,,9,[11],[],Legs,[]
1464,,,9,[10],[],Legs,[]
1644,,,11,[4],"[3, 9]",Chest,"['Dumbbell', 'Incline bench']"
1486,,,12,[12],[],Back,[]
1461,,,11,[4],"[8, 3]",Chest,"['Bench', 'Dumbbell']"
91,,,8,[1],[1],Arms,['Barbell']
1694,,,11,[4],[8],Chest,['Bench']
1614,,,9,[8],[8],Legs,['Bench']
1525,,,15,"[12, 14, 6]",[],Cardio,[]
1232,,,8,"[2, 1, 4]",[7],Arms,['none (bodyweight exercise)']
1028,,,12,[],[7],Back,['none (bodyweight exercise)']
1239,,,9,[7],[7],Legs,['none (bodyweight exercise)']
803,,,8,[],[],Arms,[]
1606,,,8,"[2, 12, 3, 9]",[7],Arms,['none (bodyweight exercise)']
1312,,,15,[10],[7],Cardio,['none (bodyweight exercise)']
1484,,,11,[4],[2],Chest,['SZ-Bar']
1617,,,10,"[14, 6]",[8],Abs,['Bench']
980,,,10,"[2, 1, 12, 9]",[6],Abs,['Pull-up bar']
1201,,,9,[10],[7],Legs,['none (bodyweight exercise)']
1755,,,13,[],[],Shoulders,[]
1778,,,11,[],[],Chest,[]
1314,,,15,[10],[7],Cardio,['none (bodyweight exercise)']
1196,,,9,[10],[7],Legs,['none (bodyweight exercise)']
1551,,,11,[4],[7],Chest,['none (bodyweight exercise)']
1602,,,13,[9],[3],Shoulders,['Dumbbell']
1278,,,11,[4],[],Chest,[]
822,,,13,"[2, 9]",[],Shoulders,[]
1662,,,8,[5],[],Arms,[]
1641,,,9,[8],"[3, 10]",Legs,"['Dumbbell', 'Kettlebell']"
920,,,12,[12],[],Back,[]
1007,,,13,[],[7],Shoulders,['none (bodyweight exercise)']
285,,,15,"[11, 7, 10, 15]",[],Cardio,[]
50,,,8,[5],[1],Arms,['Barbell']
1650,,,10,[14],[3],Abs,['Dumbbell']
661,,,8,[5],[],Arms,[]
512,,,12,[12],[],Back,[]
1653,,,9,"[8, 10]",[],Legs,[]
1319,,,10,"[14, 6]",[7],Abs,['none (bodyweight exercise)']
1266,,,8,[5],[],Arms,[]
1776,,,10,[],[3],Abs,['Dumbbell']
1803,,,9,[10],[],Legs,[]
1104,,,15,"[11, 7, 8, 12, 14, 10, 6]",[7],Cardio,['none (bodyweight exercise)']
487,,,13,[],[3],Shoulders,['Dumbbell']
458,,,10,"[14, 6]",[7],Abs,['none (bodyweight exercise)']
1572,,,10,[6],[7],Abs,['none (bodyweight exercise)']
1718,,,12,"[14, 3, 5]",[1],Back,['Barbell']
1603,,,14,[7],[11],Calves,['Resistance band']
246,,,8,[5],"[8, 2]",Arms,"['Bench', 'SZ-Bar']"
75,,,11,[4],"[8, 3]",Chest,"['Bench', 'Dumbbell']"
1452,,,9,[8],[7],Legs,['none (bodyweight exercise)']
1190,,,8,[1],[3],Arms,['Dumbbell']
538,,,11,[4],"[1, 9]",Chest,"['Barbell', 'Incline bench']"
906,,,9,[],[],Legs,[]
1648,,,10,[14],[3],Abs,['Dumbbell']
595,,,15,[7],[],Cardio,[]
1321,,,10,[14],[7],Abs,['none (bodyweight exercise)']
909,,,9,[10],[],Legs,[]
142,,,13,[2],[],Shoulders,[]
924,,,11,[4],[],Chest,[]
152,,,12,[],[6],Back,['Pull-up bar']
1216,,,8,[],[],Arms,[]
355,,,12,[12],[],Back,[]
1381,,,12,"[2, 9]",[],Back,[]
222,,,13,[9],[],Shoulders,[]
1006,,,12,[],[7],Back,['none (bodyweight exercise)']
1324,,,9,[10],[7],Legs,['none (bodyweight exercise)']
1008,,,13,[],[7],Shoulders,['none (bodyweight exercise)']
1005,,,12,[],[7],Back,['none (bodyweight exercise)']
193,,,13,[],[8],Shoulders,['Bench']
1449,,,15,[10],[],Cardio,[]
1098,,,12,[12],[3],Back,['Dumbbell']
1012,,,8,[],[3],Arms,['Dumbbell']
1435,,,12,"[12, 9]",[6],Back,['Pull-up bar']
1325,,,9,[7],[7],Legs,['none (bodyweight exercise)']
922,,,12,[12],[],Back,[]
1087,,,12,[],[3],Back,['Dumbbell']
1769,,,9,[],[],Legs,[]
186,,,11,[4],[3],Chest,['Dumbbell']
1457,,,11,"[2, 4, 5]",[],Chest,[]
1548,,,15,"[11, 7, 8, 10]",[7],Cardio,['none (bodyweight exercise)']
1635,,,12,[12],[9],Back,['Incline bench']
501,,,8,[5],[],Arms,[]
1105,,,10,[6],[7],Abs,['none (bodyweight exercise)']
177,,,15,"[14, 9]",[7],Cardio,['none (bodyweight exercise)']
1679,,,13,[9],[],Shoulders,[]
545,,,10,[6],[],Abs,[]
182,,,8,[],[],Arms,[]
985,,,8,[],[7],Arms,['none (bodyweight exercise)']
1737,,,12,[],[],Back,[]
977,,,10,"[8, 10, 15]",[7],Abs,['none (bodyweight exercise)']
1231,,,8,[5],[7],Arms,['none (bodyweight exercise)']
1276,,,11,[4],[3],Chest,['Dumbbell']
1117,,,12,[],[],Back,[]
1710,,,13,[12],[8],Shoulders,['Bench']
145,,,10,[14],[],Abs,[]
1549,,,15,"[11, 7, 8, 10]",[7],Cardio,['none (bodyweight exercise)']
1706,,,9,"[8, 10]",[3],Legs,['Dumbbell']
1762,,,11,[],[],Chest,[]
